id,entity,description,number of relationships,in_context
28,WINDOWS CREDENTIAL EDITOR,"Windows Credential Editor is a malicious software specifically designed for Windows systems, enabling attackers to manage and exploit user credentials for unauthorized access. It functions as a password dumping tool, effectively extracting credentials from these systems. Additionally, Windows Credential Editor has the capability to manipulate and extract credentials from the LSASS (Local Security Authority Subsystem Service) memory, further facilitating unauthorized access to sensitive information.",4,True
68,CREDENTIAL GUARD,"Credential Guard is a security feature designed to isolate and secure user credentials, thereby protecting them from theft and unauthorized access. It specifically safeguards sensitive credentials against compromise by malware, including threats like Avaddon. By creating a secure environment for user credentials, Credential Guard effectively mitigates the risk of credential theft, ensuring that sensitive information remains protected from malicious actors.",3,True
129,CREDENTIAL DUMPING,"Credential dumping is a method that some mistakenly believe can mitigate malware threats like Proton, but it complicates the process without addressing specific vulnerabilities.",1,True
149,CREDENTIAL ACCESS,"Credential access refers to strategies that limit unauthorized access to sensitive information, which is crucial for mitigating threats from malware like Proton.",1,True
36,CREDENTIAL ROTATION,Credential rotation is a security practice that involves regularly changing passwords and credentials to reduce the risk of unauthorized access by threats like IronNetInjector.,0,True
213,WINDOWS,"Windows is a widely used operating system developed by Microsoft, known for its user-friendly interface and compatibility with a vast range of software applications. It serves as a platform for various remote administration tools, including Remcos, ConnectWise, and RemoteUtilities, as well as numerous malware and cyber threat tools such as jRAT, Mimikatz, ComRAT, Uroburos, and DarkGate. 

Windows is prevalent in both personal and enterprise computing environments, making it a common target for cyber threats and malware, including Netwalker, BADHATCH, SysUpdate, and Exaramel. The operating system is susceptible to various attack techniques, including Logon Script, Audio Capture, Screen Capture, and the Steal Web Session Cookie technique. Additionally, it can be targeted by rootkits and is vulnerable to attacks such as LLMNR/NBT-NS Poisoning, SMB Relay, Adversary-in-the-Middle, DHCP Spoofing, and ARP Cache Poisoning.

Windows manages services that can be exploited by adversaries to maintain persistence and allows for the loading of DLLs from arbitrary local paths and UNC network paths. It is also the platform on which several software tools operate, including CrackMapExec, esentutl, PowerSploit, SILENTTRINITY, and AsyncRAT, among others. Furthermore, Windows supports WMI for management data and operations, enabling both local and remote access to system components. Overall, Windows remains a critical and widely utilized operating system, but its popularity also makes it a frequent target for cyber threats.",52,True
316,OS CREDENTIAL DUMPING,"OS Credential Dumping is an attack technique employed by adversaries to extract sensitive information, particularly account usernames and authentication credentials, from operating systems. This technique involves retrieving login information, which may include hashes or clear text passwords, from various sources within the operating system. By utilizing OS Credential Dumping, attackers aim to gain unauthorized access to systems by obtaining critical credential material.",18,True
178,KERBEROASTING PREVENTION TECHNIQUES,Kerberoasting prevention techniques are measures taken to secure systems against credential theft by malware like WhisperGate.,0,True
180,CACHEDUMP,"CACHEDUMP is a tool that serves dual purposes, functioning both as a malware and a legitimate utility. It can compromise systems, which necessitates protective measures such as Secure Boot to safeguard against its malicious capabilities. Additionally, CACHEDUMP is a publicly-available tool designed to extract cached password hashes from a system’s registry, primarily targeting Windows platforms. This dual nature highlights the importance of understanding its potential risks and legitimate uses in cybersecurity contexts.",5,True
321,CREDENTIAL ACCESS PROTECTION,"Credential Access Protection is a mitigation method designed to prevent adversaries from successfully accessing credentials. This approach focuses on safeguarding sensitive information and ensuring that unauthorized individuals cannot gain access to critical credentials, thereby enhancing overall security.",5,True
